名字,开放时间,评分,建议游玩时间,门票,来源城市
"日照海滨国家森林公园Rizhao Seaside National Forest Park","全天开放",4.3,12,37.9,日照
"万平口风景区Wanpingkou Beach Tourist Spot","4月20日-10月10日（旺季）5:00-22:30；10月11日-次年4月19日（淡季）6:00-21:00；晚20:00起停止售票和检票入园，21:00完成清场熄灯闭园。",4.4,2.5,10,日照
"金沙滩海水浴场Golden Sandy Beach Bathing Beach","全年 全天开放",4.7,12,0,日照
"五莲山风景区Wulian Mountain Scenic Spot","全年 08:30-17:30",4.5,3.5,1,日照
"竹洞天风景区Zhudongtian Scenic Area","5月1日-10月31日7:30-18:00;11月1日-次年4月30日8:00-17:30",4.1,4,34.9,日照
"刘家湾赶海园Liujiawan Ganhai Park","8:00-17:30",4.3,3.5,6,日照
"九仙山风景区Jiuxian Mountain Scenic Area","全年 05:00-18:00;全年 05:30-17:30",4.3,72,9,日照
"灯塔风景区Lighthouse Scenic Area","全天开放",4.4,1.5,269,日照
"日照港","全天",4.8,1,0,日照
"桃花岛风情园Taohua Island Customs Park","7:00-18:00",3.6,2.5,80,日照
"大青山风景区Daqingshan Tourist Site","7:00-18:00",4.4,12,34.8,日照
"浮来山风景区Fulaishan Scenic Area","8:30-17:00",4.5,4,5,日照
"龙门崮风景区Longmen Gully Scenic Area","暂停营业，具体开放时间以景区公告为准或电话咨询景区。原开放时间为：8:30-17:00",4.5,2.5,35,日照
"日照文山茶博园","8:30-18:00",4.5,2.5,26,日照
"磴山风景区","全年 08:00-17:00;4/2-5/7 08:00-18:00",4.7,3.5,50,日照
"中国杜鹃花博览园China Azalea Expo Park",,4.9,1.5,60,日照
"昆明瀑布公园The Waterfall Park of Kunming","全年 9:00-17:00",4.5,1,2,昆明
"昆明老街Kunminglao Street","全年 全天开放",4.5,2.5,1,昆明
"滇池Dian Lake","9:00-18:00",4.6,1.5,75,昆明
"翠湖公园Green Lake Park","全年 06:30-22:00",4.5,2.5,3,昆明
"云南民族村Yunnan Ethnic Village","全年 09:00-18:00",4.5,12,79.8,昆明
"海埂大坝Haigeng Dam","全年 全天开放",4.6,1,79.8,昆明
"公园1903Park 1903","全年 周一-周四,周日 10:00-22:00;全年 周五-周六 10:00-22:30",4.7,2.5,0,昆明
"云南野生动物园Yunnan Zoo","9:00-16:30",4.3,4.5,100,昆明
"阳宗海旅游度假区Yangzonghai Tourist Resort","全年 全天开放",4.8,72,7,昆明
"七彩云南古滇名城Colorful Yunnan Ancient City","8:00-20:00",4.6,12,195,昆明
"石林冰雪海洋世界Shilin Ice and Snow Ocean World","全年 09:00-18:00",4.5,1.5,138,昆明
"云大会泽院仰止楼","全天",4.2,0.4,0,昆明
"石林风景区Stone Forest","全年 07:30-17:30",4.6,72,140,昆明
"龙门Longmen","09:00-17:00",4.6,1.5,12.5,昆明
"昆明动物园Kunming Zoo","8:00-18:00",4.5,2.5,20,昆明
"金殿公园Jindian Park","1/1-12/31 07:30-18:00",4.5,2.5,5,昆明
"轿子雪山Jiaozi Snow Mountain","8:30-15:30",4.6,72,194.9,昆明
"昆明植物园Kunming Botanical Garden","东西园正常开放时间9:00-17:00，植物科普馆周一闭馆；枫叶节期间（10月10日-12月10日）8:30-18:00，东园、扶荔宫、植物科普馆开放时间照常。",4.3,2.5,200,昆明
"黑龙潭公园Black Dragon Pond Park","开放时间为9:00—17:00，黑龙潭公园16:20停止售票。",4.6,1.5,5,昆明
"九乡Jiuxiang","8:00-18:00；详情以景区公示为准。",4.7,2.5,60,昆明
"世界园艺博览园World Horti-Expo Garden","全年 08:30-17:00",3.8,3.5,1.8,昆明
"云南民族博物馆Yunnan Nationalities Museum","周二-周日9:00-16:30，16:00停止入场并清场；周一闭馆。",4.6,1.5,8,昆明
"昆明走廊","全天开放",4.5,0.5,0,昆明
"海埂公园Haigeng Bank","全天开放",4.5,2,79.8,昆明
"云南省博物馆旧馆","周二到周日9:30-16:00",4.3,4,0,昆明
"西南联大纪念碑","全天开放",4,0.5,0,昆明
"青龙峡Qinglongxia","全年9:00-17:00",4.2,12,30,昆明
"滇池西山索道Dianchi Xishan Cableway","9:00-17:00",4.7,0.75,40,昆明
"秘境m60","周一至周日  8:00-20:00",4.9,3,0,昆明
"法华寺石窟Fahua Temple Grottoes","全年 全天开放",4.2,0.5,12.5,昆明
"卢汉公馆","周一至周日 08:00-18:00",3,0.75,0,昆明
"大观公园Daguan Park","7:00-19:00；详情以景区公示为准。",4.6,1.5,69,昆明
"云南民族大学","全天开放",3.6,0.5,0,昆明
"宝海公园Baohai Park","全年 8:00-19:00",4.4,3,7,昆明
"三清阁Sanqing Pavilion","8:30-17:00",4.6,1,7,昆明
"云南师范大学呈贡校区","全天开放",4.8,0.5,0,昆明
"西游洞Xiyou Cave","8:30-18:30",4.2,2.5,128,昆明
"南洋华侨机工抗日纪念碑Southeast Asia Mechanic Anti-Japanese Monument","全年 08:00-18:00",4.5,0.05,0,昆明
"岩泉风景区Yanquan Scenic Area (Northeast Gate)","全年 7:00-17:00",4.5,72,10,昆明
"金色螳螂川风景区The Golden Tanglang River Scenic Zone","景区暂时停业，详情请以景区公示为准；原开放时间：全天开放。",4.4,2,159,昆明
"郊野公园Kunming Country Park","全年 9:00-15:00",4.3,1.5,7,昆明
"天山天池Tianshan Tianchi (“Heavenly Mountain” and “Heavenly Lake”) National Park","04/01-10/31 09:00-19:00;11/01-03/31 09:30-19:00",4.5,5,105,昌吉
"飞龙潭East Xiaotianchi","8:30-19:00",4.5,1,108,昌吉
"王母祖庙Xiwangmu Ancestral Temple","全年 8:00-18:00",4,1.5,369,昌吉
"昌江黎族自治县博物馆Changjiang Lizu Zizhixian Museum","全年 周一-周五 8:00-17:30",4.5,2.5,0,昌江
"海尾湿地公园","8:00-18:00",4,1,0,昌江
"孟孝琚碑Monument of Meng Xiaoju","8：00—17：30",4.3,2,5,昭通
"大山包Dashanbao","全年 7:00-19:00",4.3,3.5,0,昭通
"观斗山石雕Guandou Mountain Stone Carving","8:00-18:00",4.7,1,38,昭通
"山海洞Sanhaidong","全年 09:00-18:00",4.8,2.5,90,昭通
"平遥古城Pingyao Ancient City","10/8-3/31 08:00-17:30;04/01-10/07 08:00-18:00",4.5,144,65,晋中
"常家庄园The Mansion of the Changs","全年 08:00-18:30",4.8,2.5,64,晋中
"华北第一镖局Huabei No.1 Biaoju","具体开放时间请咨询景区",4.5,1.5,65,晋中
"双林寺Shuanglin Temple","4/1-10/8 08:00-18:00;10/9-3/31 08:00-17:30",4.7,2.5,5,晋中
"山西王家大院Wang Family Courtyard","全年 08:30-17:20",4.7,2.5,55,晋中
"平遥古城墙Pingyao Ancient City Wall","3/1-10/9 08:00-18:30;10/10-2/29 08:00-17:30",4.5,3,65,晋中
"平遥古县衙Pingyao Ancient Government Office","8:00-18:00，17:30停止入场",4.6,1,65,晋中
"清虚观Qingxu Temple","具体开放时间请咨询景区",4.4,0.5,150,晋中
"张壁古堡Zhangbi Ancient Castle","全年 08:00-17:00",4.6,2,60,晋中
"绵山景区Mianshan Scenic Area","4/1-12/31 08:00-19:00;11/1-3/31 08:00-17:30",4.5,108,110,晋中
"市楼","春夏8:00-19:30；秋冬8:00-18:00",4.3,1.5,5,晋中
"协同庆票号(中国钱庄博物馆)Xietongqing","冬令（11月-次年4月）8:00-17:15，夏令（5月-10月）8:00-18:00。",4.6,1,65,晋中
"榆次老城Yuci Old Town","10月1号起开始营业 08：00—17：30，17：00停止入场",4.3,3.5,75,晋中
"雷履泰故居Former Residence of Lei Lutai","具体开放时间请咨询景区",4.5,0.75,65,晋中
"蔚泰厚票号博物馆Weitaihoupiaohao Museum","具体开放时间请咨询景区",4.4,1,65,晋中
"中国商会博物馆China Chamber of Commerce Museum","具体开放时间请咨询景区",4.3,1,65,晋中
"百川通票号Furniture Museum of the Shaanxi Rich","全年 全天开放",4.5,1,65,晋中
"同兴公镖局Tongxinggong","具体开放时间请咨询景区",4.5,0.75,65,晋中
"古民居博览苑Ancient Dwellings Expo Park","具体开放时间请咨询景区",4.4,1,65,晋中
"天吉祥博物馆Tianjixiang Museum","具体开放时间请咨询景区",4.2,1,65,晋中
"后沟古村Hougou Ancient Village","8:00-18:00",4.3,3,31.8,晋中
"汇武林博物馆","春夏8:00-19:30；秋冬8:00-18:00",4.3,1.25,65,晋中
"云竹湖Yunzhu Lake","9:00-18:00",4.4,2.5,29,晋中
"石膏山Shigao Mountain","7:00-19:00",4.5,3,258,晋中
"乌金山国家森林公园Wujin Mountain National Forest Park",,4.4,3.5,48,晋中
"袄神楼",,4,1,15,晋中
"孔祥熙宅院Kong Xiangxi House","全年 08:00-18:30",4.2,2,7,晋中
"王莽岭风景区Wangmang Ridge","全年 08:00-16:00",4.5,5.75,9,晋城
"蟒河生态旅游区Manghe Eco-Tourism Area","全年 08:00-17:30;全年 08:00-17:00",4.4,2.5,30,晋城
"九女仙湖Jiunu Fairy Lake","8:00-17:00",4.2,3,9,晋城
"海会书院Haihui Temple of Yangcheng","1/1-1/31 08:30-17:00;2/1-9/30 08:00-18:30;10/1-12/31 周日 08:30-17:00",4.6,1.5,20,晋城
"珏山Jueshan Mountain","早8：00---晚5：00（冬）、晚6：00（夏)",4.6,3.5,50,晋城
"高平市博物馆Gaopingshi Museum","9:00—12:00；14:30—17:30（周一闭馆，周二至周五主要接待预约团体）",5,2.5,0,晋城
"中庄布政李府House of Chief Secretary of Zhongzhuang (the Li Family)",,4.2,1.5,36,晋城
"太阳河森林公园Laiyang River National Forest Park",,4.1,12,135,普洱
"普洱茶马古道旅游景区Ancient Tea-Horse Road","8:00-16:30",4.3,1.5,298,普洱
"中华普洱茶博览苑China Pu’er Tea Museum","8:30-17:30",4.3,3.5,30,普洱
"普洱国家公园犀牛坪景区Pu'er National Park, Xiniu (Rhino) Plains Scenic Area","8:00-18:00，兑票时间8:30-16:00。",4.4,12,135,普洱
"墨江北回归线标志园Tropic of Cancer Marker Park","全年 08:30-18:30",4.2,1.5,39,普洱
"勐梭龙潭Mengsuo Dragon Pool","全年 8:00-18:00",4.6,1,9,普洱
"西盟佤族自治县博物馆Ximeng Wazu Zizhixian Museum",,5,2.5,0,普洱
"景德镇中国陶瓷博物馆Jingdezhen Ceramics Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.6,2,258,景德镇
"瑶里景区Yaoli Destination","全年 08:00-18:00",4.4,108,95,景德镇
"景德镇陶阳里御窑景区Jingdezhen Ceramics Archaeological Research Center","9：00－18：00",4.3,1.5,9,景德镇
"古窑民俗博览区Ancient Kiln Folk Customs Museum","全年 08:00-17:00",4.5,3.5,83,景德镇
"景德镇御窑文化艺术博物馆Jingdezhenyuyao Culture and Art Museum","周二----周日全天开放（9：00-17：00）法定节假日正常开放",4.3,2.5,0,景德镇
"瑶里千年古镇Yaoli Porcelain Tea Ancient Town","全天开放",4.5,12,0,景德镇
"洪岩仙境风景区","9:00—17:00",4.6,4.5,81,景德镇
"龙珠阁Longzhu Pavilion","全年 8:00-17:30",4.2,1.5,0,景德镇
"湖田古窑遗址","9:00-17:00",4.2,1.5,20,景德镇
"样集弄民宅","全天",3,2,0,景德镇
"景德镇民窑博物馆Jingdezhen Minyao Museum","全年 周二-周日 8:30-16:30",4.3,2.5,10,景德镇
"汪湖生态游览区Wanghu Ecology Tourism Area","夏季：8:00-18:00，冬季：8:00-17:00",4.2,4.5,3,景德镇
"怪石林Guaishi Forest","8:00-18:00",4.6,3.5,39,景德镇
"瓷音水榭","8:00-17:00",3.7,1.5,0,景德镇
"南山瀑布Nan Mountain Waterfall","全天",4.7,2,0,景德镇
"景德镇老城博物馆Jingdezhen Laocheng Museum","全年9:00-21:00",5,1.5,0,景德镇
"五王庙古戏台Ancient Stage of Wuwang Temple","全年开放，开放时间：9:00-21:00，演出时间：19:30-21:00。",4.7,0.75,38,景德镇
"陶溪川美术馆Taoxichuan Galley","全年9:30-21:30",4.4,1.5,40,景德镇
"尼珠河大峡谷Nizhu River Grand Canyon",,4.5,2,68,曲靖
"罗平油菜花景区Luoping Canola Flower Ocean","全天开放",4.7,108,60,曲靖
"九龙瀑布群Jiulong Waterfalls","8:00-18:00",4.5,3.5,60,曲靖
"金鸡峰丛Jinji Fengcong","全年 全天开放",4.6,2.5,20,曲靖
"陆良彩色沙林Luliang Colored Sand Forest","9:00-17:00",4.3,2.5,49,曲靖
"珠江源风景区Pearl River Source Scenic Area","8:00-18:00",4.2,2.5,29,曲靖
"麒麟公园Kylin Park","全年 全天开放",4.5,1,6,曲靖
"寥廓山Liaokuo Mountain","全天",4.5,1,7,曲靖
"麒麟水乡","全年 08:30-17:00",4.3,2.5,100,曲靖
"曲靖市博物馆Qujingshi Museum","9:00-16:30（周一闭馆，周二到周日开馆）",5,1.5,0,曲靖
"应县木塔Yingxian Wooden Tower","3/1-10/20 08:30-18:00;10/21-2/28 08:00-17:00",4.6,1.5,46,朔州
"金沙滩生态旅游区Golden Beach Ecotourism Area","8:00-19:00",3.9,72,258,朔州
"朝阳凤凰山Phoenix Mountain","全年 08:00-17:00",4.5,4.5,28,朝阳
"大黑山国家森林公园Daheishan Forest Park","8:00-17:00",4.3,2.5,0,朝阳
"清风岭Qingfeng Peak","8:00-16:30",4.3,2,44.7,朝阳
"朝阳鸟化石国家地质公园Chaoyang Bird Fossil National Geological Park","夏令9:00-17:00， 16:30停止入场；冬令9:00-16:00，15:30停止入场",4.5,2.5,68,朝阳
"本溪水洞Benxi Water Caves","04/01-10/31 08:30-16:00",4.6,3.5,35,本溪
"五女山Wunü Mountain","4/19-10/25 08:00-16:00",4.6,5,50,本溪
"望天洞Watching Sky Cave","8:00-16:00",4.7,3,60,本溪
"绿石谷Lüshi Valley","1/1-12/31 06:00-16:30",4.6,2,40,本溪
"大石湖风景区Dashi Lake Scenic Area","全年 07:30-18:00",4.7,3.5,20,本溪
"汤沟森林公园Tanggou Forest Park","8：00—18：00",4.6,12,2019,本溪
"本溪老边沟风景区Benxi Laobiangou Scenic Spot","全年 07:30-18:00",4.6,4.5,78,本溪
"枫林谷森林公园Fenglingu Forest Park","4月下旬-10月末 8:00-17:00（16:00停止售票）。",4.6,12,80,本溪
"望溪公园Wangxi Park (Southeast Gate)","全年 7:30-21:00",4.8,1,0,本溪
"野山参博物馆","全年 08:00-18:00",5,2.5,30,本溪
"建州女真历史陈列馆","全年 08:00-16:00",5,1.5,25,本溪
"本溪满族自治县杨靖宇纪念馆Benxi Manzu Zizhixian Yangjingyu Memorial Hall","全年 9:00-17:00",5,1.5,0,本溪
"本溪大峡谷Benxi Canyon","全年 08:00-17:00",4.1,12,25,本溪
"圣堂山Shengtang Mountain","8:00-16:00，15:00停止购票",4.4,6,59,来宾
"金秀圣堂湖景区Jinxiu Shengtang Lake Ecotourism Scenic Area","9:00-17:00；里面各项目游玩时间详见景区公示。",3.8,3.5,168,来宾
"百崖大峡谷Baiya Grand Canyon","全年 8:00-19:00",4.4,3.5,30,来宾
"巴勒瑶族高山玻璃栈道Bale Yao Nationality Mountain Glass Path","8:00-17:00",3.7,1.5,77.5,来宾
"瑶族博物馆Fuchuan Yao Ethnic Minority Museum",,4.4,2.5,0,来宾
"岭祖大峡谷Lingzu Grand Canyon","8:30-17:00",5,12,38.7,来宾
"金秀莲花山景区Jinxiu Lotus Mountain Scenic Area","5/1-10/31 08:00-16:30;11/1-4/30 08:30-16:00",4.6,4.5,80,来宾
"金秀银杉森林公园Jinxiu Yinshan Forest Park","8:30~16:00",4.4,12,44,来宾
"青山瀑布Qing Mountain Waterfall","8:00-16:00",4.7,2,45,来宾
"西湖West Lake","全天开放",4.7,12,25,杭州
"千岛湖景区Thousand Island Lake","全天开放；其中景区内各景点开放时间详见景区现场公示。",4.4,108,55,杭州
"杭州宋城Hangzhou Songcheng Park","全年 周一-周五 10:00-21:10;全年 周六-周日 09:30-21:10",4.6,72,580,杭州
"灵隐寺Lingyin Temple","全年 07:00-18:15",4.7,1.5,40,杭州
"西溪国家湿地公园Xixi National Wetland Park","10/8-3/31 08:00-17:30;4/1-10/7 07:30-18:30",4.6,5.5,160,杭州
"云栖竹径Yunqi Bamboo Trail","仅供参考，请以景区具体开放时间为准。",4.6,1.5,8,杭州
"杭州樱花园Hangzhou Cherry Blossom Garden","2/1-9/30 09:00-17:00",3.4,2.5,50,杭州
"南宋御街Southern Song Imperial Street","全天开放",4.5,2.5,30,杭州
"雷峰塔Leifeng Tower","11/1-3/15 08:00-17:30;3/16-4/30 08:00-19:00;5/1-10/31 08:00-20:00",4.5,1.5,40,杭州
"九溪烟树Nine Creeks in the Misty Forest","全天开放",4.6,1.5,128,杭州
"垂云通天河Chuiyun Tongtian River","4/7-10/01 08:00-16:30;10/02-4/6 08:30-16:00",4.5,3.5,108,杭州
"杭州野生动物世界Hangzhou Safari Park","全年 09:30-16:30",4.6,12,210,杭州
"三潭印月Three Pools Mirroring the Moon","8:00-17:00",4.6,1.5,35,杭州
"富春江Fuchun River","8:00-17:00",5,2,1,杭州
"塘栖古镇Tangqi Ancient Town","全天开放",4.5,3,9,杭州
"梅峰揽胜","上岛游船每天9:15、10:45两班，包游艇售票时间：8:00-15:00（天黑前返程，具体时间依船班航程而定）",4.6,2.5,55,杭州
"龙门古镇Longmen Ancient Town","8:00-17:00；详情以景区公示为准。",4.2,3,35,杭州
"青山湖Qingshan Lake","旺季（4月1日-10月31日）7:30-17:00，淡季（11月1日-次年3月31日）8:00-16:30。",4.3,2.5,140,杭州
"禅源寺Chanyuan Temple","8:00-16:00",4.4,1.5,100,杭州
"黄公望隐居地Huang Gongwang's Reclusive Place","9:00-17:30；16:30停止售票。",4.3,3,45,杭州
"曲院风荷Quyuan Fenghe","全年 全天开放",4.8,1.5,48,杭州
"小河直街历史文化街区Xiaohe Zhijie Historical and Cultural District","全年 全天开放",4.6,1.5,99,杭州
"苏堤Sudi","全天开放",4.7,1.5,48,杭州
"钱塘江Qiantang River","全天开放",4.6,1.5,888,杭州
"桐庐天子地风景区Tianzidi","全年 08:00-16:00",4.4,3,100,杭州
"花港观鱼Viewing Fish at Flower Harbor","具体开放时间请咨询景区",4.6,1.5,48,杭州
"平湖秋月Autumn moon on the calm lake (Pinghu Qiuyue)","具体开放时间请咨询景区",4.7,0.5,0,杭州
"白堤Bai Causeway","全天开放",4.7,0.75,0,杭州
"京杭大运河杭州景区The Grand Canal Hangzhou","全天开放",4.4,12,110,杭州
"郭庄Guo's Villa","8:00-17:00",4.6,1.75,10,杭州
"大奇山国家森林公园Daqishan National Forest Park","全年 08:30-16:30",4.5,3,45,杭州
"宋城千古情The Romantic Show of Songcheng","10:00－最后一场宋城千古情演出结束后30分钟；  其中景区内各景点开放时间详见景区现场公示。",4.5,4.5,0,杭州
"上天竺法喜讲寺Shangtianzhu Temple","全年 4:30-18:30",4.7,0.75,10,杭州
"南屏晚钟Nanping Wanzhong Scenic Resort","具体开放时间请咨询景区",4.6,0.75,40,杭州
"虎跑公园Hupao Park","夏令7:00-17:30，冬令7:00-16:55。 仅供参考，请以景区具体开放时间为准。",4.7,1.5,15,杭州
"杭州动物园Hangzhou Zoo","4/1-9/30 07:00-17:00;10/8-3/31 07:00-17:00;10/1-10/7 07:00-17:00",4.7,3,20,杭州
"良渚古城遗址公园Liangzhugucheng Ruins Park","9:00-17:00",4.4,3.5,20,杭州
"胡雪岩故居Hu Xueyan's Former Residence","全年 08:00-17:00",4.7,1.5,20,杭州
"杭州植物园Hangzhou Botanical Garden","全年 07:00-17:00;全年 07:00-16:30",4.6,2.5,10,杭州
"西湖音乐喷泉West Lake Music Fountain","音乐喷泉全天开放，喷泉时间为19:00-19:15、20:00-20:15（19:00、20:00各有一场，每场播放三曲）。",4.5,1,48,杭州
"瑶琳仙境Yaolin Fairyland","4/1-10/31 08:00-16:30;11/1-3/31 08:30-15:30",4.4,1,107.8,杭州
"桂花岛（猴岛）Osmanthus Island","全年 08:00-17:30",4.5,1,50,杭州
"严子陵钓台Yan Ziling Fishing Platform","11/1-3/31 08:30-15:30;04/01-10/31 08:30-16:00",4.2,2.5,111.9,杭州
"青芝坞Qingzhiwu","全天开放",4.5,2,48,杭州
"梅峰岛Meifeng Island","8:00-13:00",4.3,1.25,55,杭州
"湘湖Xiang Lake","全天开放",4.6,12,53.4,杭州
"黄山尖Huangshanjian","8:00-12:00，下午暂不开放，后续时间调整以景区公示为准。",4.5,1.5,55,杭州
"千岛湖森林氧吧Thousand Island Lake Forest Oxygen Bar","3/1-10/14 08:00-17:00;10/15-2/29 08:30-16:30",4.3,2,40,杭州
"浙西大峡谷West Zhejiang Grand Canyon","4月1日-10月31日7:30-17:00；11月1日-次年3月31日8:00-16:00；详情以景区公示为准。",4.5,72,75,杭州
"大明山景区Damingshan Scenic Area","11/1-03/31 08:00-14:30;4/1-10/31 07:30-15:30",4.6,12,25,杭州
"超山风景区Chao Mountain Scenic Area","全年 08:00-17:00",4.4,72,29.9,杭州
"茅家埠Maojiabu Village","全年 全天开放",4.7,1.5,7,杭州
"杭州博物馆Hangzhou Museum","全年 周二-周日 9:00-16:30;全年 周一 全天不开放",4.7,1.5,30,杭州
"新叶古村Xinye Ancient Village","8:00-16:30",4.1,2.5,54,杭州
"千岛湖文渊狮城度假区Wenyuan Lion City Resort","9:00-21:00，18:30停止入园。",4,2.5,67.5,杭州
"小河直街XiaoHe ZhiJie","全天",4.6,1.5,0,杭州
"柳浪闻莺Orioles Singing in the Willows","全天开放",4.7,0.75,48,杭州
"岳王庙景区Yuewang Temple Scenic Area","全年 07:30-17:30",4.6,1,25,杭州
"六和塔Liuhe Pagoda","夏令时间：07:00 - 17:30，冬令时间：07:00 - 16:55。",4.7,2,10,杭州
"吴山天风Wushan Tianfeng Scenic Area","具体开放时间请咨询景区",4.6,3,30,杭州
"城隍阁景区Chenghuang Pavilion Scenic Area","8:00-20:00；仅供参考，请以景区具体开放时间为准.",4.5,3,30,杭州
"千岛湖中心湖区Thousand Island Lake, Central Lake Area","8:00-16:00；中心湖区码头24小时都开放，但是游船最晚到13点停止售票；详情以景区公示为准。",4.3,9.6,55,杭州
"月光岛（五龙岛）Moonlight Island","03/22-12/31 08:00-09:00,12:00-13:00,13:20-14:00",4.2,1.5,55,杭州
"中国茶叶博物馆China National Tea Museum","周二-周日9:00-16:30；周一闭馆（节假日除外）。",4.7,2.05,0,杭州
"查干湖Chagan Lake","全年 全天开放",4.7,2,90,松原
"雅鲁藏布大峡谷Yarlung Zangbo Grand Canyon","04/01-09/30 08:00-20:30;10/01-03/31 08:30-18:00",4.7,108,240,林芝
"波密","全天开放",4.8,2,10,林芝
"南迦巴瓦峰Namcha Barwa Peak","全天开放",4.8,3,240,林芝
"巴松措Pagsom Co","冬季：9:00-18:30；",4.6,3.5,60,林芝
"色季拉山Sejila Mountain","全年 全天开放",4.5,1,3,林芝
"波密桃花沟Bomi Peach Blossom Valley","全年 全天开放",4.8,2,10,林芝
"米堆冰川Midui Glacier","全天开放",4.2,3.5,6,林芝
"苯日景区Yani Wetland Scenic Area","9:00-17:00",4.7,72,449,林芝
"比日神山生态景区Birishenshan Ecological Scenic Area","全年 09:00-18:00",4.4,4,5,林芝
"喇嘛岭寺","08:00-19:00",5,1.5,30,林芝
"卡定沟景区Kading Tianfo Pubu Forest Scenic Area","全天开放",4.5,1.5,5,林芝
"措木及日Cuomujiri Scenic Area","9：00-17:00",3.7,3.5,125,林芝
"雅鲁藏布江","全天开放",4.6,2,2,林芝
"巨柏","9:00-17:00",3.5,1,5,林芝
"通麦","全天开放",4.5,2.5,10,林芝
"古乡湖Guxiang Lake","全年 全天开放",4.5,2,4,林芝
"南伊旅游区","全天",3.7,24,110,林芝
"林芝中流砥柱","全天开放",4,0.75,0,林芝
"丹娘佛掌沙丘Buddha's Palm Dune","全年开放",4.3,3,100,林芝
"直白村Zhibaicun","全年 全天开放",4.4,12,0,林芝
"东久自然保护区","全天",4,1.5,0,林芝
"藏布巴东瀑布群Zangbu Badong Waterfall Group","全年 全天开放",5,2,0,林芝
"林芝自然博物馆","8:00-20:00",4,3,30,林芝
"台儿庄古城Taierzhuang Ancient City","8:30—22:00",4.6,108,0.7,枣庄
"台儿庄大战纪念馆Battle of Taierzhuang Memorial Hall","全年 08:30-17:00",4.7,2,2,枣庄
"抱犊崮国家森林公园Baodugu National Forest Park","4.1-12.31，8:00-17:00",4.5,72,35,枣庄
"冠世榴园Guanshiliu Park","8:00-18:00",4.4,3.5,30,枣庄
"枣庄熊耳山Xiong'er Mountain","08:00-17:00",4.2,12,18,枣庄
"李宗仁史料馆Lizongren Historical Archive","全年 8:00-18:00",4.5,1.5,10,枣庄
"微山湖红荷湿地景区Weishan Wetland Park","4/1-10/31 08:30-17:00;11/1-3/31 09:00-16:30",4.3,3.5,55.8,枣庄
"枣庄市中兴文化博物馆Zaozhuangshi Zhongxing Culture Museum","全年 9:00-17:00",5,2.5,0,枣庄
"鱼峰公园Yufeng Park","8:00-16:00",4.5,1,45,柳州
"丹洲景区Danzhou Scenic Area","全年 08:00-20:00",4.1,108,32,柳州
"仙人山景区Xianren Mountain Sceneic Area","全年 08:00-22:00",4.3,3.5,50,柳州
"百里柳江旅游景区Baili Liujiang Scenic Area","全天开放",4.6,1.5,39.8,柳州
"石门仙湖景区Shimen Xianhu Scenic Area","9:00-17:00",4.3,2.5,65,柳州
"程阳风雨桥Chengyang Wind and Rain Bridge","全天开放",4.4,0.75,90,柳州
"柳侯公园Park of Marquis Liu","6:30-22:00",4.6,1.5,9,柳州
"东门城楼East Gate Tower","全年 全天开放",4.4,1,5,柳州
"元宝山Yuanbao Mountain","全天",4.6,3,0,柳州
"红光大桥","全天",4.7,2,0,柳州
"贝江","10:00—17:00",4.5,2,138,柳州
"江滨公园Jiangbin Park of Liuzhou","全年 全天开放",4.6,1,7,柳州
"融水苗山","全天",4.3,2,0,柳州
"石门冲生态旅游景区Shimenchong Ecology Tourism Sceneic Area","全年 周一-周五 10:00-19:00;全年 周六 11:00-16:00",4.3,72,5,柳州
"都乐公园","8:00-18:00",4,1.25,5,柳州
"三门江国家森林公园Sanmenjiang National Forest Park","全年 8:00-20:00",4.7,2.5,100,柳州
"融水田头苗寨Rongshui Miao Village","全天开放；娱乐活动项目时间不同，详情以景区公示为准。",4.2,12,100,柳州
"蟠龙山Panlong Mountain","全年 全天开放",4.6,1,0,柳州
"雀儿山公园","夏季6：30--22：30，冬季7：00--22：00",4.3,2,9,柳州
"株洲白龙洞","全年8:00-17:00。",3.6,1.5,65,株洲
"株洲电视塔Zhuzhou Radio And Television Tower","全年 09:30-21:00",4.3,1,35,株洲
"工农兵政府旧址","夏季：8:30-17:30,株洲
,株洲
冬季：8:30-17:00",3.3,2,30,株洲
"皮佳洞仙境乐园","全年8:00-18:00",4,1.5,80,株洲
"石峰动物园Shifeng Park Zoo","全年 08:00-17:30",4.3,2.5,48.9,株洲
"宝宁寺Baoning Temple","全年 8:00-17:30",4.3,1,40,株洲
"茶乡花海景区Chaxianghuahai Sceneic Area",,5,2.5,68,株洲
"桃源谷网红桥景区Taoyuanguwang Hongqiao Sceneic Area",,1,12,30,株洲
"株洲秋瑾故居Zhuzhouqiujin Former Residence","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.8,1,0,株洲
"龙脊梯田Longji Rice Terrace","全天开放",4.5,108,80,桂林
"西街West Street","全天开放",4.4,2,79,桂林
"象鼻山景区Xiangshan Scenic Area","4月1日-10月31日6:30-18:30;11月1日-次年3月31日7:00-17:30。",4.3,1.5,70,桂林
"相公山Xianggong Mountain","参考时间：6:00-18:00",4.4,2.5,99,桂林
"两江四湖Two Rivers and Four Lakes","全天开放",4.5,1.5,179,桂林
"银子岩Silver Cave","全年 09:00-17:30",4.4,1.5,51,桂林
