名字,开放时间,评分,建议游玩时间,门票,来源城市
"袁家界Yuanjiajie","具体开放时间请咨询景区",4.7,2.5,"{'袁家界风景区门票成人票\n\n': ['¥226起'], '袁家界风景区门票+普通讲解服务成人票\n\n': ['¥226起'], '袁家界风景区手机电子导游讲解票大小同价\n\n': ['¥10起']}",张家界
"黄石寨Huangshi Village","7:00-18:00",4.6,1.5,"{'打卡张家界森林公园+天门山奇幻仙境+大峡谷玻璃桥+芙蓉镇+凤凰古城梦幻夜景+可选黄龙洞品质纯玩三日游\n\n': ['¥670起'], '【臻选小团】张家界森林公园天门山玻璃桥精华全景三日游\n\n': ['¥1199起'], '2+1头等舱车可坐可躺不去苗寨购物、可选黄龙洞玻璃桥国家森林公园线，赠天门山索道天门洞芙蓉镇凤凰3日\n\n': ['¥499起']}",张家界
"宝峰湖景区Baofeng Lake Scenic Area","8:00-17:00",4.2,3.5,"{'宝峰湖景区大门票+游船票成人票\n\n': ['¥82.5起'], '宝峰湖景区大门票+游船+VIP环保车票成人票\n\n': ['¥92起'], '宝峰湖景区大门票+游船+VIP环保车票儿童票\n\n': ['¥55起']}",张家界
"十里画廊Ten mile Gallery Scenic Area","包含于武陵源索溪峪景区，景区开放时间7:00-18:00，景点开放时间详见景区现场公示。",4.3,2.5,"{'十里画廊小火车票成人票\n\n': ['¥37.8起'], '十里画廊小火车票优待票\n\n': ['¥19起'], '十里画廊双程小火车票+《魅力湘西》演出门票成人票\n\n': ['¥218起']}",张家界
"杨家界Yangjiajie","包含于武陵源景区，景点开放时间详见景区现场公示。",4.6,4,"包含于武陵源风景区门票内，通用于武陵源风景区门票。如需乘坐杨家界索道，请单独购买指定索道票。",张家界
"武陵源Wulingyuan","全年 07:30-18:00",4.5,180,"{'张家界国家森林公园4日门票成人票\n\n': ['¥217.5起'], '张家界国家森林公园4日门票儿童票\n\n': ['¥33起'], '张家界国家森林公园4日门票学生票\n\n': ['¥116起']}",张家界
"龙王洞旅游景区Dragon King Cave","全年 7:30-17:00",4.4,2.5,"65元",张家界
"金鞭岩Jinbianyan Peak","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.5,0.2,"{'【vip保姆车私家包团】张家界森林公园+天门山/大峡谷/黄龙洞/宝峰湖/七星山/土司城三日游\n\n': ['¥1780起']}",张家界
"水绕四门Shuiraosimen","包含在武陵源核心景区内，景点开放时间详见景区公示",4.5,1,"{'【春季促销张家界国家森林公园VIP精品纯玩团】袁家界阿凡达+杨家界+金鞭溪+十里画廊+天子山\n\n': ['¥68起'], '张家界森林公园+天子山+袁家界+十里画廊+金鞭溪一日游【纯玩无购物】\n\n': ['¥95起'], '【新品热销】张家界国家森林公园+袁家界+天子山+十里画廊纯玩一日游【十六人团+上门接送+导游讲解】\n\n': ['¥138起']}",张家界
"天下第一桥First Bridge of the World","全年 8:00-18:00",4.5,0.3,"{'【春季促销张家界国家森林公园VIP精品纯玩团】袁家界阿凡达+杨家界+金鞭溪+十里画廊+天子山\n\n': ['¥68起'], '张家界森林公园+天子山+袁家界+十里画廊+金鞭溪一日游【纯玩无购物】\n\n': ['¥95起'], '一价全含免费接送丨赠魅力湘西丨张家界森林公园+天门山+玻璃桥+黄龙洞+凤凰沱江泛舟+芙蓉镇6日游\n\n': ['¥1099起']}",张家界
"点将台","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.6,0.3,"包含于张家界国家森林公园内，通用公园门票。",张家界
"空中田园Air Field","包含在张家界国家森林公园内，张家界国家森林公园开放时间8:00-17:30，景区内小景点开放时间详见景区现场公示。",4.3,1,"包含在张家界国家森林公园，通用张家界国家森林公园门票。",张家界
"乾坤柱Qiankun Column","8:00-17:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主）。",4.6,0.4,"{'【春季促销张家界国家森林公园VIP精品纯玩团】袁家界阿凡达+杨家界+金鞭溪+十里画廊+天子山\n\n': ['¥68起'], '张家界森林公园+天子山+袁家界+十里画廊+金鞭溪一日游【纯玩无购物】\n\n': ['¥95起'], '【16人精品小团】张家界国家森林公园+袁家界阿凡达+杨家界+金鞭溪+十里画廊一日游+市区上门接送\n\n': ['¥129起']}",张家界
"张家界朝阳地缝景区Zhangjiajie Chaoyang Difeng Sceneic Area","全年 09:00-18:00",4.5,3.5,"{'张家界一线天（即朝阳地缝）门票成人票\n\n': ['¥91起'], '【酒店套餐】张家界万福温泉国际度假村+双人万福温泉门票+双早\n\n': ['¥469起']}",张家界
"鹞子寨Yaozizhai Scenic Area","具体开放时间请咨询景区",4.6,3.5,"张家界森林公园门票已包含。",张家界
"天子阁Emperor Pavilion","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",3.9,0.3,"包含于张家界国家森林公园内，通用公园门票。",张家界
"师徒取经Master and His Three Appretences on A Pilgrimage","7:00-18:00（张家界森林公园开放时间）",4.6,0.2,"包含于张家界国家森林公园内。",张家界
"石家檐Shijiayan Scenic Area","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.8,1.5,"门票包含在张家界森林公园套票内。",张家界
"天波府Tianbo Mansion","景区暂时停业，详情请以景区公示为准。原开放时间：8:30-16:30",4.6,0.4,"包含在武陵源风景名胜区杨家界景区门票内。",张家界
"天门洞Tianmen Cave","全年 08:00-18:00",4.7,1,"{'天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票成人票\n\n': ['¥278起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票儿童票\n\n': ['¥147起'], '天门山国家森林公园A线套票（天门山索道上山-天门洞快线索道下山）票学生票\n\n': ['¥147起']}",张家界
"乌龙寨Wulongzhai","全年 7:00-18:00",4.5,2.5,"包含于张家界国家森林公园门票内，通用张家界国家森林公园门票。",张家界
"迷魂台Mihuntai Scenic Spot","7:00-18:00，景区内景点开放时间详见景区现场公示（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主）。",4.5,0.3,"包含在张家界森林公园内，通用张家界森林公园内门票。",张家界
"天门山寺Tianmen Mountain Temple","旺季（3月1日-11月30日）8:00-18:00，16:30停止售票；淡季（12月1日-次年2月28日）8:30-18:00，16:00停止售票。",4.6,0.5,"包含在天门山国家森林公园门票内，通用天门山国家森林公园景区门票。",张家界
"张家界后花园Zhangjiajiehou Garden","7:00-18:00",4.5,0.3,"包含于张家界国家森林公园内，通用公园门票。",张家界
"天门山通天大道Tianmen Mountain Heaven-Linking Avenue","8:00-18:00，16:00停止入场",4.7,2,"{'【VIP专线】天门山纯玩一日游（一家一团+双索道+上门接送）\n\n': ['¥48起'], '【春季促销】天门山公园纯玩一日游【索道+天门洞+玻璃栈道+鬼谷栈道+导游讲解+上门接送】\n\n': ['¥168起'], '2+1头等舱车可坐可躺不去苗寨购物、可选黄龙洞玻璃桥国家森林公园线，赠天门山索道天门洞芙蓉镇凤凰3日\n\n': ['¥499起']}",张家界
"贺龙公园Helong Park","包含在张家界森林公园景区内，张家界森林公园景区开放时间为7:00-18:00，景区内景点开放时间详见景区现场公示。",4.5,1,"{'【春季促销张家界国家森林公园VIP精品纯玩团】袁家界阿凡达+杨家界+金鞭溪+十里画廊+天子山\n\n': ['¥68起'], '张家界森林公园+天子山+袁家界+十里画廊+金鞭溪一日游【纯玩无购物】\n\n': ['¥95起'], '【臻选小团】张家界森林公园天门山玻璃桥精华全景三日游\n\n': ['¥1199起']}",张家界
"大观台Daguan Platform","7:00-18:00；具体以景区公示为准。",4.6,1,"包含在景区门票中",张家界
"砂刀沟Shadaogou","包含在张家界森林公园内，张家界森林公园开放时间8:00-17:30，景区内景点开放时间详情以景区现场公示为准。",4.6,2,"包含在张家界森林公园门票内",张家界
"土家老院子Zhangjiajie Old Courtyard","9:00-17:00",3.9,1.5,"{'张家界土家老院子门票成人票\n\n': ['¥75起'], '张家界老院子电子导览服务大小同价\n\n': ['¥7起'], '【酒店套餐】蓝湾博格国际酒店+2张天门山门票/天门狐仙表演票\n\n': ['¥480起']}",张家界
"神兵聚会Immortals Party Scenic Area","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.5,1,"免费",张家界
"索溪峪","周一至周日 07:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.8,2,"免费，已含在张家界国家森林公园门票内",张家界
"一步登天Yibudengtian","包含在张家界森林公园景区内，张家界森林公园景区开放时间为7:00-18:00，景区内景点开放时间详见景区现场公示。",4.6,0.4,"包含于张家界森林公园景区，通用张家界森林公园景区门票。",张家界
"一步难行Difficult Step Scenic Spot","7:00-18:00，根据季节不同，营业时间会做相应调整，具体以景区当日现场公示为准。",4.3,0.25,"包含于张家界国家森林公园内，通用张家界国家森林公园门票。",张家界
"乱窜坡Chaotic Slope, Zhangjiajie","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.4,2,"包含于张家界国家森林公园内。",张家界
"云梦仙顶Yunmeng Summit","具体开放时间请咨询景区",4.4,0.3,"包含于天门山景区内，通用天门山景区门票。",张家界
"卧龙岭Wolong Ridge","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.5,1.5,"包含于张家界国家森林公园内，通用公园门票。",张家界
"琵琶溪Pipaxi","包含于张家界国家森林公园景区，景区开放时间7:00-18:00，景点开放时间详见景区现场公示。",4.8,0.3,"包含于张家界国家森林公园景区内，通用于张家界国家森林公园景区门票。",张家界
"千里相会Qianli Xianghui Rock Peak","7:00-18:00（张家界国家森林公园开放时间。根据季节不同，停止售票的时间会有所调整，以景区当日公告为主）",4.3,0.15,"包含于张家界国家森林公园内，通用森林公园门票。",张家界
"凌霄台Lingxiao Observation Deck","具体开放时间请咨询景区",4.6,0.3,"包含于天门山风景区门票内，通用于天门山风景区门票。",张家界
"御笔峰Yubi Peak","7:00-18:00",4.7,0.4,"免费",张家界
"母子峰Mother-child Peak","7:00-18:00（张家界森林公园开放时间）",4.6,0.15,"包含于张家界国家森林公园内。",张家界
"袁家寨子Yuanjia Village","8:00-17:00",3.9,2.5,"{'袁家寨子门票成人票\n\n': ['¥62起'], '袁家寨子门票双人票\n\n': ['¥123起']}",张家界
"茶盘塔Chapan Tower","夏季：8:00-18:45，冬季：8:00-18:00（森林公园开放时间）",5,1.5,"张家界景区门票（248元）已包含。",张家界
"鹰窝寨Eagle Nest Village","全年 8:30-17:30",4.3,1.5,"包含在宝峰湖景区门票96元内。",张家界
"仙人溪Xianren Brook","全年 全天开放",4.5,108,"免费",张家界
"摘星台Star Picking Tower","7:00-18:00（张家界森林公园开放时间）",4.5,0.2,"包含于张家界国家森林公园内，通用公园门票，具体收费情况以景区现场公示为主。",张家界
"六奇阁Liuqi Pavilion","7:00-18:00（张家界国家森林公园开放时间。根据季节不同，停止售票的时间会有所调整，以景区当日公告为主）",4.3,0.4,"包含于张家界国家森林公园内，通用森林公园门票。",张家界
"百丈峡Baizhang Gorge","7:00-18:00",4.8,2.5,"包含在张家界国家森林公园门票（248元）中。",张家界
"长寿泉Changshou Spring","7:00-18:00（张家界森林公园开放时间，根据季节不同，停止售票的时间会有所调整，以景区当日公告为主。）",4.7,0.2,"248元",张家界
"紫草潭Zicaotan","7:00-18:00（张家界国家森林公园开放时间。根据季节不同，停止售票的时间会有所调整，以景区当日公告为主）",4.2,0.25,"包含于张家界国家森林公园内，通用森林公园门票。",张家界
"求儿洞Seeking for A Boy Cave","具体开放时间请咨询景区",4.1,0.2,"包含于天门山景区内，通用天门山景区门票。",张家界
"张家界沧海桑田","全年 09:00-17:00",5,12,"成人：110元   1.2米以下儿童免费",张家界
"张掖七彩丹霞旅游景区Zhangye Danxia Geopark","全年 07:30-17:00",4.7,4,"{'张掖七彩丹霞旅游景区门票成人票\n\n': ['¥93起'], '张掖七彩丹霞旅游景区门票学生票\n\n': ['¥66起'], '张掖七彩丹霞旅游景区门票老人票\n\n': ['¥66起']}",张掖
"张掖大佛寺Zhangye Buddhist Temple","全年 08:30-18:00",4.6,1.5,"{'张掖大佛寺门票成人票\n\n': ['¥38起'], '张掖大佛寺门票学生票\n\n': ['¥20起'], '张掖大佛寺人工讲解服务大小同价\n\n': ['¥49起']}",张掖
"焉支山森林公园Mt. Yanzhi Forest Park","4/27-10/20 08:00-17:30",4.5,3,"免费",张掖
"军马场","全天",4.4,3.5,"免费",张掖
"山丹县博物馆Shandan Museum","周二-周日开放，周一闭馆；开放时间为：夏季上午8:00-12:00，下午14:00-18:30，冬季上午8:00-12:00，下午14:00-17:30。",4.7,2.5,"免费",张掖
"平山湖大峡谷Pingshan Lake Grand Canyon","全年 07:30-21:00",4.6,2.5,"{'平山湖大峡谷门票+观光车票成人票\n\n': ['¥118起'], '平山湖大峡谷电子导览服务大小同价\n\n': ['¥1.2起'], '【 无与伦比安全敢保障】张掖平山湖大峡谷半日游 市区接送\n\n': ['¥73起']}",张掖
"临泽丹霞","白天开放",4.7,1,"门票：40元。可选费用：景区观光车20元。",张掖
"金塔寺Jinta Temple","因生态建设暂未开放，开放时间未定。",4.8,1.5,"因生态建设暂未开放，门票未定。",张掖
"张掖市博物馆","张掖市博物馆全年开馆。,张掖
 每天上午 8:00 - 下午 18:00,张掖
 每天上午 7:39 - 下午 19:00 (六至九月份),张掖
 重大节假日为上午 7:00 - 下午 21:00 开放。",3,1,"免费",张掖
"屋兰古镇Wulan Ancient Town","09:00-23:00",4.3,1,"具体收费情况以景区现场公示为主。",张掖
"张掖城市湿地博物馆Zhangye Wetland Museum","周二至周日        早上 9:30-12:00   下午 14:30-17:00  （周一闭馆，国家法定节假日除外）",4,2.5,"免费",张掖
"张掖市博物馆Zhangye City Museum","8:00-18:00",4.1,1,"免费",张掖
"睡美人",,4,1.25,"需购买景区大门票",张掖
"张掖市三缘博物馆Zhangyeshi Sanyuan Museum",,4.8,2.5,"{'张掖市三缘博物馆门票成人票\n\n': ['¥38起']}",张掖
"灵猴观海Monkey Watching the Sea","具体开放时间请咨询景区",4.7,2.5,"首道大门票收费情况请咨询景区",张掖
"众僧拜佛Monks Worship Buddha",,4.3,1.25,"需购买景区大门票",张掖
"夕晖归帆“Sailing back in the Sunset” Scenic Spot",,4,2.5,"需购买景区大门票",张掖
"刀山火海",,4,0.75,"需购买景区大门票",张掖
"小布达拉宫Little Potala Palace","5:30-19:00",4.2,1.25,"包含在七彩丹霞旅游景区内，通用七彩丹霞旅游景区门票",张掖
"云龙湖旅游景区Yunlong Lake","全天开放；游船9:00-17:30",4.7,5.5,"{'云龙湖旅游景区4人座电动自驾船票大小同价\n\n': ['¥118起'], '云龙湖旅游景区快艇门票大小同价\n\n': ['¥59起'], '云龙湖旅游景区画舫船票大小同价\n\n': ['¥59起']}",徐州
"龟山汉墓Guishan Han Dynasty Tombs","8:30-17:00",4.6,1.5,"{'龟山汉墓门票成人票\n\n': ['¥72起'], '龟山汉墓电子导览票大小同价\n\n': ['¥9起']}",徐州
"窑湾古镇Yaowan Ancient Town","全年 09:00-17:00",4.4,4.5,"{'窑湾古镇导览服务成人票\n\n': ['¥0.7起']}",徐州
"云龙山Yunlong Mountain","7:00-21:00，21:00停止入场；以上信息仅供参考，具体以景区当日实际公示信息为准。",4.6,2.5,"{'徐州云龙山索道门票成人票\n\n': ['¥40起'], '徐州云龙山索道门票儿童票\n\n': ['¥20起'], '云龙山手机智能导游讲解服务大小同价\n\n': ['¥10起']}",徐州
"徐州汉文化景区Xuzhou Han Culture Scenic Spot","4/1-10/31 09:00-17:00;11/1-3/31 08:30-16:30",4.5,12,"{'徐州汉文化景区门票成人票\n\n': ['¥78.5起'], '汉文化景区电子讲解服务大小同价\n\n': ['¥0.5起']}",徐州
"狮子山楚王陵The Tomb of Chu King on the Shizi Mountain","4月1日-10月31日8:30-17:00；11月1日-次年3月31日8:30-16:30。",4.5,1.5,"{'徐州汉文化景区门票成人票\n\n': ['¥78.5起']}",徐州
"水月禅寺Shuiyue Temple","7:00-17:00",4.8,4,"景区入园门票需提前预约",徐州
"彭祖园Pengzu Garden","夏季（5月1日-9月30日）7:00-18:00；冬季（10月1日-次年4月30日）7:30-17:30，具体开放时间详见景区公示。",4.5,2.5,"景区免费进入，景区内其他景点或项目需收费，彭祖园游乐场门票成人票140元，详情可电话咨询景区。",徐州
"云龙公园Yunlong Park","全年 8:30-17:00",4.7,1.5,"{'云龙公园手机智能导游讲解服务大小同价\n\n': ['¥5起']}",徐州
"汉兵马俑博物馆Han Dynasty Terracotta Warriors Museum","8:30-16:30（16:00停止售票）。",4.3,2.5,"包含在徐州汉文化景区门票内，通用于徐州汉文化景区门票。",徐州
"淮海战役烈士纪念塔‎园林Huaihai battle martyrs memorial tower","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.7,1.5,"{'淮海战役烈士纪念塔园林电子讲解票大小同价\n\n': ['¥9起']}",徐州
"徐州民俗博物馆Xuzhou Folk Custom Museum","全年 9:00-16:30",4.4,1.5,"{'徐州民俗博物馆门票成人票\n\n': ['¥25起'], '徐州民俗博物馆门票老人票\n\n': ['¥12起'], '徐州民俗博物馆门票学生票\n\n': ['¥12起']}",徐州
"徐州汉画像石馆Xuzhou Art Museum of Han Stone Gravings","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.7,3,"观众凭身份证领取参观券进入。",徐州
"泉山森林公园Quanshan Forest Park","8:00-18:00",4.6,2.5,"{'泉山森林公园手机智能导游讲解服务大小同价\n\n': ['¥5起']}",徐州
"潘安湖国家湿地公园Pan'an Lake Wetland Park","9:00-17:30",4.2,2.5,"{'潘安湖湿地公园门票成人票\n\n': ['¥19.9起'], '潘安湖湿地公园门票学生票\n\n': ['¥10起'], '潘安湖鸟岛动物园门票成人票\n\n': ['¥50起']}",徐州
"戏马台Ximatai Ruins","全年 08:30-17:00",4.4,1.5,"{'戏马台电子讲解票大小同价\n\n': ['¥2.5起']}",徐州
"勐焕大金塔Menghuan Grand Golden Pagoda","全年 08:30-18:30",4.5,1,"{'勐焕大金塔门票成人票\n\n': ['¥38起'], '珍奇园+勐焕大金塔成人票\n\n': ['¥70起'], '腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",德宏
"勐焕银塔Meng Huan Silver Tower","全年 08:30-21:30",4.5,1.5,"{'勐焕银塔门票成人票\n\n': ['¥34.5起'], '勐焕银塔门票优待票\n\n': ['¥20起'], '勐焕银塔电子导览服务大小同价\n\n': ['¥7起']}",德宏
"芒令独树成林Ruili One Tree Forest","8:00-19:00",4.1,0.75,"{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",德宏
"黑河老坡Heihe Laopo","8:30-17:30",4.3,2.5,"具体收费情况以景区现场公示为主。",德宏
"勐巴娜西珍奇园Mengba Naxi Rarity Park","8:00-18:00",4.4,3,"{'勐巴娜西珍奇园成人票\n\n': ['¥38起'], '珍奇园+勐焕大金塔成人票\n\n': ['¥70起'], '腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",德宏
"莫里热带雨林景区Moli Tropical Rainforest Scenic Area","8:00-18:00",4.6,1.5,"{'莫里热带雨林景区门票成人票\n\n': ['¥35起'], '莫里热带雨林景区门票优待票\n\n': ['¥18起'], '瑞丽市莫里热带雨林电子导览服务大小同价\n\n': ['¥9起']}",德宏
"树包塔Tree Covered Pagoda","全年 全天开放",4.5,2,"{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起']}",德宏
"姐告口岸Jiegao Port","全年 全天开放",4.4,4,"{'腾冲-瑞丽+芒市包车二日游\n\n': ['¥1800起'], '腾冲至芒市+瑞丽小团二日游：大金塔+莫里瀑布+姐告+一寨两国\n\n': ['¥1380起']}",德宏
"中缅友谊街Zhongmian Street","全年 10:00-23:00",4.4,1,"{'勐景来+中缅国门+独树成林纯玩一日游 网红导游+特色傣味中餐\n\n': ['¥248起'], '西双版纳中缅边境+独树成林+勐景来一日游丨土著导游丨国门打卡\n\n': ['¥248起'], '独树成林+勐景来+国门中缅边境一日游/国门打卡/天天发车\n\n': ['¥100起']}",德宏
"扎朵瀑布Zhaduo Waterfall","全天",4.6,2,"{'腾冲至芒市+瑞丽小团二日游：大金塔+莫里瀑布+姐告+一寨两国\n\n': ['¥1380起']}",德宏
"风平佛塔Fengping Pagoda","9:00 - 17:00",5,2,"10元",德宏
"云南盈江国家湿地公园","8:30-19:00,18:00停止入场。",4.4,2,"{'大盈江湿地公园门票成人票\n\n': ['¥25起']}",德宏
"三仙洞Sanxian Cave (Cave of the Three Immortals)","全年 10:00-18:00",4.7,2,"{'三仙洞大门票成人票\n\n': ['¥24起']}",德宏
"畹町边关文化园Wanding Boundary Cultural Park","全年9:00-17:30",3.3,2.5,"具体收费情况以景区现场公示为主。",德宏
"德宏仙佛洞旅游景区Dehongxian Fudong Tourism Sceneic Area","周一-周五9:00-17:00，周六、周日9:00-17:30。",4.6,1.5,"{'德宏仙佛洞旅游景区门票成人票\n\n': ['¥63起'], '德宏仙佛洞旅游景区门票优待票\n\n': ['¥34起'], '德宏仙佛洞旅游景区门票+玻璃大桥+电瓶车票成人票\n\n': ['¥93起']}",德宏
"泉城欧乐堡动物王国Quancheng Oulebao Animal Kingdom","全年 09:28-16:40",4.8,2.5,"{'泉城欧乐堡动物王国门票成人票\n\n': ['¥224.5起'], '泉城欧乐堡动物王国门票优待票\n\n': ['¥118.3起'], '泉城欧乐堡动物王国门票亲子票(1大1小)\n\n': ['¥218.7起']}",德州
"泉城欧乐堡海洋极地世界Quancheng Ocean and Polar World","全年 08:30-17:30",4.7,3.5,"{'泉城海洋极地世界门票成人票\n\n': ['¥174.3起'], '泉城海洋极地世界门票优待票\n\n': ['¥116.6起'], '泉城海洋极地世界门票双人票\n\n': ['¥220起']}",德州
"德百旅游小镇椹仙村Shenxian Village, Debai Tourism Town","全年 08:30-21:00",4.2,12,"{'德百旅游小镇椹仙村门票大小同价\n\n': ['¥38.7起'], '德百旅游小镇椹仙村游园票成人票\n\n': ['¥38起']}",德州
"宁津德百杂技蟋蟀谷","全年 09:00-18:00",3.6,12,"30元",德州
"齐河牧羊园Qihe Sheep Farm",,3.7,2.5,"景区内自费项目：卡丁车",德州
"山东百枣枣文化博物馆Shan Dongbaizaozao Culture Museum","9：00-11:00 14:30-16:30",4.5,2.5,"免费",德州
"冀鲁边区革命纪念馆Jilu Bianqu Geming Memorial Hall","全年 周二-周日 9:00-17:00",5,2.5,"免费",德州
"三星堆博物馆Sanxingdui Archaeological Museum","售票时间：8:30—17:00 开放时间：综合馆（第一展馆）8:30—18:00                       青铜馆（第二展馆）8:30—18:30",4.7,2.5,"{'三星堆博物馆门票成人票\n\n': ['¥72起'], '三星堆博物馆门票+电子讲解票成人票\n\n': ['¥78.5起'], '三星堆博物馆门票+电子讲解票学生票\n\n': ['¥46.6起']}",德阳
"和海田园Hehai Tian Yuan","3/6-12/31 08:00-18:00",3.8,4,"{'和海田园门票成人票\n\n': ['¥57起'], '和海田园门票儿童票\n\n': ['¥33起'], '和海田园门票老人票\n\n': ['¥35起']}",德阳
"黄继光纪念馆Huangjiguang Memorial Hall (North Gate)","8:00-10:00",4.6,1.5,"免费",德阳
"三溪寺Sanxi Temple","7:00-18:00",4.6,1.5,"成人10元；儿童5元。",德阳
"广汉·奇迹花田","全年 09:00-18:00",3.4,2.5,"68元",德阳
"中江樱花岭","2019年2月5日-3月31日：9:00-18:00",5,12,"20元",德阳
"罗江区庞统祠博物馆Luojiangqu Pangtongci Museum","全年 9:00-17:00",3.5,2.5,"{'罗江区庞统祠博物馆门票成人票\n\n': ['¥25起'], '罗江区庞统祠博物馆门票优待票\n\n': ['¥12起']}",德阳
"古名天下旅游景区Gumingtianxia Scenic Spot","全年 08:30-17:00",2.7,12,"98元",德阳
"五台山Mount Wutai","8:00-23:00；景区内各小景点开放时间，详情请以景区当天公示为准。",4.6,180,"{'五台山门票成人票\n\n': ['¥135起'], '五台山门票+人工讲解服务大小同价\n\n': ['¥133起'], '五台山门票+人工讲解服务团队票\n\n': ['¥538起']}",忻州
"雁门关Yanmen Pass","04/01-10/31 08:00-18:00;11/01-03/31 08:30-17:00",4.5,3.5,"{'雁门关门票成人票\n\n': ['¥83.9起'], '蒙山大佛山西旅游惠民卡大小同价\n\n': ['¥258起'], '雁门关导览服务大小同价\n\n': ['¥0.9起']}",忻州
"忻州古城Xinzhou Ancient City","全年 07:00-23:40",4.5,1.25,"{'《遇见秀容·沉浸式情境体验剧》演出票大小同价\n\n': ['¥79起'], '忻州古城电子导览票大小同价\n\n': ['¥9起'], '雁门关忻州古城一日游【九塞关塞之首】（门票全含+览金庸先生笔下传奇+天龙八部小说背景）\n\n': ['¥145起']}",忻州
"万年冰洞Million-year Ice Cave National Geopark","9:00-17:00",4.4,72,"120元",忻州
"显通寺Xiantong Temple","全年 08:00-17:00;全年 09:00-16:30",4.8,2.5,"{'五台山.五爷庙.殊像寺多种套餐自选二日游\n\n': ['¥120起'], '【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起']}",忻州
"五台山风景名胜区-菩萨顶Pusa Ding (Bodhisattva Top)","全年 8:00-18:00",4.8,2,"{'【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起'], '【赠云冈石窟景交】五台山+云冈石窟+应县木塔+悬空寺二日游\n\n': ['¥170起']}",忻州
"杨忠武祠Yang Zhongwuci","全年 8:00-18:00",4.6,1,"20元",忻州
"黛螺顶Dailuoding","夏令8:00-18:00；冬令8:00-16:00",4.7,1.5,"{'五台山人工导览票大小同价\n\n': ['¥9起'], '【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】特惠五台山祈福二日游·纯玩无购物\n\n': ['¥158起']}",忻州
"禹王洞Yu Wang Cave","8:00-19:00",4.5,1,"{'禹王洞门票成人票\n\n': ['¥50起'], '禹王洞门票优待票\n\n': ['¥30起'], '禹王洞手机导游(不含门票)服务成人票\n\n': ['¥7起']}",忻州
"五爷庙Wuye Temple","8:00-18:00",4.7,2.5,"{'五台山品质礼佛一日游【天天发团/资深讲解/专职导游带您领略佛国精髓】\n\n': ['¥70起'], '【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起'], '【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起']}",忻州
"南台锦绣峰Nantai Jinxiu Peak","全年 7:00-18:00",4.5,4,"包含在五台山风景区内，通用于五台山风景区门票。",忻州
"河边民俗博物馆Hebian Folk Museum, Xinzhou","8:00-18:00",4.2,1,"{'阎锡山故居手机智能讲解门票大小同价\n\n': ['¥6起']}",忻州
"东台望海峰Dongtai Wanghai Peak","全年 全天开放",4.7,1.5,"包含在五台山风景区内，通用于五台山风景区门票。",忻州
"殊像寺Shuxiang Temple","具体开放时间请咨询景区",4.7,2,"{'【太原出发】五台山祈福一日游·门票全含\n\n': ['¥88起'], '【人气线路】五台山二日游（赠五台山小交通 含门票）\n\n': ['¥120起'], '【太原出发】特惠五台山祈福二日游·纯玩无购物\n\n': ['¥158起']}",忻州
"十方堂Shifang Temple","8:00-17:00",4.8,1," 包含在五台山门票中，五台山门票：旺季（4月1日-10月31日）168元，淡季（11月1日-次年3月31日）140元。",忻州
"佛母洞Fomu Cave","05/28-12/31 07:00-18:00",4.8,1,"{'五台山佛母洞索道票成人票\n\n': ['¥40起'], '佛母洞手机智能讲解门票大小同价\n\n': ['¥10起']}",忻州
